	INDEX	form	lemma	xpos	syllables	stress	phon	err
1005	1005	șferii	șfară	Ncfsoy	șfe.rii	șf'erii	S f e r i j	
1008	1008	șfert	#ERROR!	Ncms-n	șfert	șf'ert	S f e r t	
1009	1009	șfertul	șfert	Ncmsry	șfer.tul	șf'ertul	S f e r t u l	
1010	1010	șfertului	șfert	Ncmsoy	șfer.tu.lui	șf'ertului	S f e r t u l u j	
1011	1011	șferturi	șfert	Ncfp-n	șfer.turi	șf'erturi	S f e r t u r i_0	
1012	1012	șferturile	șfert	Ncfpry	șfer.tu.ri.le	șf'erturile	S f e r t u r i l e	
1013	1013	șferturilor	șfert	Ncfpoy	șfer.tu.ri.lor	șf'erturilor	S f e r t u r i l o r	
2105	2105	șovârf	#ERROR!	Ncms-n	șo.vârf	șov'ârf	S o v 1 r f	
2795	2795	știuci	știucă	Ncfp-n	știuci	știuci	S t j u tS	
2796	2796	știuci	știucă	Ncfson	știuci	știuci	S t j u tS	
17457	17457	așchierile	așchiere	Ncfpry	aș.chi.e.ri.le	așchi'erile	a S k_j i e r i l e	
17458	17458	așchierilor	așchiere	Ncfpoy	aș.chi.e.ri.lor	așchi'erilor	a S k_j i e r i l o r	
31307	31307	anorexiile	anorexie	Ncfpry	a.no.re.xi.i.le	anorex'iile	a n o r e ks i i l e	
31308	31308	anorexiilor	anorexie	Ncfpoy	a.no.re.xi.i.lor	anorex'iilor	a n o r e ks i i l o r	
38787	38787	astupații	astupat	Ncmpry	as.tu.pa.ții	astup'ații	a s t u p a ts i j	
48192	48192	bineplăcut	#ERROR!	Ncms-n	bi.ne.plă.cut	bineplăc'ut	b i n e p l @ k u t	
48193	48193	bineplăcutul	bineplăcut	Ncmsry	bi.ne.plă.cu.tul	bineplăc'utul	b i n e p l @ k u t u l	
48194	48194	bineplăcutului	bineplăcut	Ncmsoy	bi.ne.plă.cu.tu.lui	bineplăc'utului	b i n e p l @ k u t u l u j	
48195	48195	bineplăcuți	bineplăcut	Ncmp-n	bi.ne.plă.cuți	bineplăc'uți	b i n e p l @ k u ts i_0	
48196	48196	bineplăcuții	bineplăcut	Ncmpry	bi.ne.plă.cu.ții	bineplăc'uții	b i n e p l @ k u ts i j	
48197	48197	bineplăcuților	bineplăcut	Ncmpoy	bi.ne.plă.cu.ți.lor	bineplăc'uților	b i n e p l @ k u ts i l o r	
63966	63966	chineziterapeuți	chineziterapeut	Ncmp-n	chi.ne.zi.te.ra.pe.uți	chineziterape'uți	k_j i n e z i_0 t e r a p e u ts i_0	
64962	64962	cincizecime	#ERROR!	Ncfsrn	cinci.ze.ci.me	cincizec'ime	tS i n tS z e tS i m e	
64963	64963	cincizecimea	cincizecime	Ncfsry	cinci.ze.ci.mea	cincizec'imea	tS i n tS z e tS i m e_X a	
64964	64964	cincizecimi	cincizecime	Ncfp-n	cinci.ze.cimi	cincizec'imi	tS i n tS z e tS i m i_0	
64965	64965	cincizecimi	cincizecime	Ncfson	cinci.ze.cimi	cincizec'imi	tS i n tS z e tS i m i_0	
64966	64966	cincizecimii	cincizecime	Ncfsoy	cinci.ze.ci.mii	cincizec'imii	tS i n tS z e tS i m i j	
64967	64967	cincizecimile	cincizecime	Ncfpry	cinci.ze.ci.mi.le	cincizec'imile	tS i n tS z e tS i m i l e	
64968	64968	cincizecimilor	cincizecime	Ncfpoy	cinci.ze.ci.mi.lor	cincizec'imilor	tS i n tS z e tS i m i l o r	
68537	68537	coțcii	coțcă	Ncfsoy	coț.cii	c'oțcii	k o ts tS i j	
78534	78534	contraexemple	contraexemplu	Ncfp-n	con.tra.e.xem.ple	contraex'emple	k o n t r a e gz e m p l e	
78535	78535	contraexemplu	contraexemplu	Ncms-n	con.tra.e.x.em.plu	contraex'emplu	k o n t r a e gz . e m p l u	
78536	78536	contraexemplul	contraexemplu	Ncmsry	con.tra.e.x.em.plul	contraex'emplul	k o n t r a e gz . e m p l u l	
82354	82354	coxalgiile	coxalgie	Ncfpry	co.xal.gi.i.le	coxalg'iile	k o ks a l gZ i i l e	
82355	82355	coxalgiilor	coxalgie	Ncfpoy	co.xal.gi.i.lor	coxalg'iilor	k o ks a l gZ i i l o r	
82356	82356	coxalgio	coxalgie	Ncfsvy	co.xal.gio	coxalg'io	k o ks a l gZ j o	
84327	84327	crossbar	#ERROR!	Ncms-n	cross.bar	cr'ossbar	k r o s s b a r	
84328	84328	crossbarul	crossbar	Ncmsry	cross.ba.rul	cr'ossbarul	k r o s s b a r u l	
84329	84329	crossbarului	crossbar	Ncmsoy	cross.ba.ru.lui	cr'ossbarului	k r o s s b a r u l u j	
89177	89177	daici	daică	Ncfp-n	daici	daici	d a j tS	
89178	89178	daici	daică	Ncfson	daici	daici	d a j tS	
93878	93878	dejurstvele	dejurstvă	Ncfpry	de.jurst.ve.le	dej'urstvele	d e Z u r s t v e l e	
93879	93879	dejurstvelor	dejurstvă	Ncfpoy	de.jurst.ve.lor	dej'urstvelor	d e Z u r s t v e l o r	
93880	93880	dejurstvă	#ERROR!	Ncfsrn	de.jurst.vă	dej'urstvă	d e Z u r s t v @	
101628	101628	dezafectarea	dezafectare	Ncfsry	de.za.fec.ta.rea	dezafect'area	d e z a f e k t a r e_X a	
101673	101673	dezafectării	dezafectare	Ncfsoy	de.za.fec.tă.rii	dezafect'ării	d e z a f e k t @ r i j	
104474	104474	diasporă	#ERROR!	Ncfsrn	di.as.po.ră	di'asporă	d i a s p o r @	
106038	106038	discipulul	discipul	Ncmsry	dis.ci.pu.lul	disc'ipulul	d i s tS i p u l u l	
106039	106039	discipulului	discipul	Ncmsoy	dis.ci.pu.lu.lui	disc'ipulului	d i s tS i p u l u l u j	
108350	108350	dizabilitatea	dizabilitate	Ncfsry	di.za.bi.li.ta.tea	dizabilit'atea	d i z a b i l i t a t e_X a	
108351	108351	dizabilități	dizabilitate	Ncfp-n	di.za.bi.li.tăți	dizabilit'ăți	d i z a b i l i t @ ts i_0	
108352	108352	dizabilități	dizabilitate	Ncfson	di.za.bi.li.tăți	dizabilit'ăți	d i z a b i l i t @ ts i_0	
108353	108353	dizabilității	dizabilitate	Ncfsoy	di.za.bi.li.tă.ții	dizabilit'ății	d i z a b i l i t @ ts i j	
108354	108354	dizabilitățile	dizabilitate	Ncfpry	di.za.bi.li.tă.ți.le	dizabilit'ățile	d i z a b i l i t @ ts i l e	
108355	108355	dizabilităților	dizabilitate	Ncfpoy	di.za.bi.li.tă.ți.lor	dizabilit'ăților	d i z a b i l i t @ ts i l o r	
108499	108499	djurstve	djurstvă	Ncfp-n	djurst.ve	dj'urstve	d Z u r s t v e	
108500	108500	djurstve	djurstvă	Ncfson	djurst.ve	dj'urstve	d Z u r s t v e	
108501	108501	djurstvei	djurstvă	Ncfsoy	djurs.tvei	dj'urstvei	d Z u r s t v e j	
108502	108502	djurstvele	djurstvă	Ncfpry	djur.st.ve.le	dj'urstvele	d Z u r s t v e l e	
108503	108503	djurstvelor	djurstvă	Ncfpoy	djur.st.ve.lor	dj'urstvelor	d Z u r s t v e l o r	
108504	108504	djurstvă	#ERROR!	Ncfsrn	djur.st.vă	dj'urstvă	d Z u r s t v @	
112169	112169	dâldore	dâldoră	Ncfp-n	dâl.do.re	d'âldore	d 1 l d o r e	
112170	112170	dâldore	dâldoră	Ncfson	dâl.do.re	d'âldore	d 1 l d o r e	
112672	112672	echinoxului	echinox	Ncmsoy	e.chi.no.xu.lui	echin'oxului	e k_j i n o ks u l u j	
117597	117597	est	#ERROR!	Ncms-n	est	est	e s t	
117598	117598	establishmente	establishment	Ncfp-n	es.ta.blish.men.te	establishm'ente	e s t a b l i s h m e n t e	
119205	119205	exacerbareo	exacerbare	Ncfsvy	e.xa.cer.ba.reo	exacerbar'eo	e ks a tS e r b a r e_X o	
119379	119379	examenu	#ERROR!	Ncmsry	e.xa.me.nu	examen'u	e gz a m e n u	
120013	120013	excursio	excursie	Ncfsvy	ex.curs.io	excurs'io	e ks k u r s j o	
120067	120067	execuțio	execuție	Ncfsvy	e.xe.cu.țio	execuț'io	e gz e k u ts j o	
132604	132604	fugi	fugă	Ncfp-n	fugi	fugi	f u gZ i_0	
132605	132605	fugi	fugă	Ncfson	fugi	fugi	f u gZ i_0	
135075	135075	gauss	#ERROR!	Ncms-n	gauss	gauss	g a w s	elim
136589	136589	ghioș	#ERROR!	Ncms-n	ghi.oș	ghi'oș	g_j i o S	
136682	136682	ghirlănzii	ghirlandă	Ncfsoy	ghir.lăn.zii	ghirl'ănzii	g_j i r l @ n z i j	
136687	136687	ghiuji	ghiuj	Ncmp-n	ghiuji	ghiuji	g_j u Z i_0	
136822	136822	gilbox	#ERROR!	Ncfp-n	gil.box	g'ilbox	gZ i l b o k s	
136823	136823	gilbox	#ERROR!	Ncm--n	gil.box	g'ilbox	gZ i l b o k s	
136824	136824	gilbox	#ERROR!	Ncmsvn	gil.box	g'ilbox	gZ i l b o k s	
137082	137082	giuvaere	ghint	Ncfp-n	giu.va.e.re	giuva'ere	gZ u v a e r e	
