gen	term_sg	term_pl	examples	type	desin_sg	desin_pl
Fem	a	e	leva/leve		a	e
Fem	a	i	șa/șei, manta/mantăi		a	i
Fem	a	le	macara/macarale			le
Fem	ă	e	mamă/mame		ă	e
Fem	ă	i	gaură/găuri		ă	i
Fem	ică	ele	rândunică/rândunele		ică	ele
Fem	ă	ori	soră/surori	neregulat	ă	ori
Fem	ă	uri	treabă/treburi		ă	uri
Fem	e	uri	vreme/vremuri		e	uri
Fem	ea	le	podea/podele			le
Fem	i	le	zi/zile			le
Fem	ia	le	nuia/nuiele			le
Fem	ie	i	baie/băi		ie	i
Fem	le	i	vale/văi, cale/căi		le	i
Masc	0	eni	om/oameni	neregulat		eni
Masc	0	i	elev/elevi			i
Masc	ă	i	popă/popi	special	ă	i
Masc	ă	îni	tată/tătâni	vechi	ă	îni
Masc	e	eți	oaspe/oaspeți	vechi	e	eți
Masc	e	îni	frate/frătâni	vechi	e	îni
Masc	iu	ii	uliu/ulii		iu	ii
Masc	o	i	picolo/picoli	neologisme	o	i
Masc	u	i	flăcău/flăcăi		u	i
Masc|Fem	e	i	tutore/tutori, idee/idei, vulpe/vulpi		e	i
Neutr	0	e	animal/animale			e
Neutr	0	ete	cap/capete	neregulat?		ete
Neutr	0	uri	drum/drumuri			uri
Neutr	e	uri	degrade/degradeuri			uri
Neutr	ci	ce	bici/bice		i	e
Neutr	i	e	condei/condeie			e
Neutr	i	uri	beci/beciuri			uri
Neutr	iu	ie	chipiu/chipie		u	e
Neutr	o	ale	caro/carale	vechi	o	ale
Neutr	o	uri	zero/zerouri			uri
Neutr	u	ă	ou/ouă	neregulat		ă
Neutr	u	ale	atu/atale	vechi	u	ale
Neutr	u	e	teatru/teatre		u	e
Neutr	u	i	domeniu/domenii, consiliu/consilii		u	i
Neutr	u	ie	brâu/brâie		u	ie
Neutr	u	uri	atu/atuuri			uri
Neutr	u	uri	lucru/lucruri, tablou/tablouri		u	uri
