INDEX	form	lemma	xpos	syllables	stress	phon
49385	blitzului	blitz	Ncmsoy	bli.tzu.lui	bl'itzului	b l i t z u l u i_0
64158	chiotele	chiot	Ncfpry	chi.o.te.le	ch'iotele	k_j i o t e l e
73688	concesiunii	concesiune	Ncfsoy	con.ce.siu.nii	concesi'unii	k o n tS e s j u n i i_0
125612	ferestuicii	ferestuică	Ncfsoy	fe.res.tui.cii	ferest'uicii	f e r e s t u j tS i j
131478	frazeologii	frazeologie	Ncfp-n	fra.ze.o.lo.gii	frazeolog'ii	f r a z e o l o gZ i j
131479	frazeologii	frazeologie	Ncfson	fra.ze.o.lo.gii	frazeolog'ii	f r a z e o l o gZ i j
133999	găicii	gaică	Ncfsoy	găi.cii	g'ăicii	g @ j tS i j
135731	geofizicii	geofizică	Ncfsoy	ge.o.fi.zi.cii	geof'izicii	gZ e o f i z i tS i j
135755	geografii	geograf	Ncmpry	ge.o.gra.fii	geogr'afii	gZ e o g r a f i j
135756	geografii	geografie	Ncfp-n	ge.o.gra.fii	geograf'ii	gZ e o g r a f i j
135757	geografii	geografie	Ncfson	ge.o.gra.fii	geograf'ii	gZ e o g r a f i j
135782	geologii	geolog	Ncmpry	ge.o.lo.gii	geol'ogii	gZ e o l o gZ i j
135783	geologii	geologie	Ncfp-n	ge.o.lo.gii	geolog'ii	gZ e o l o gZ i j
135784	geologii	geologie	Ncfson	ge.o.lo.gii	geolog'ii	gZ e o l o gZ i j
135819	geometrii	geometrie	Ncfp-n	ge.o.me.trii	geometr'ii	gZ e o m e t r i j
135820	geometrii	geometrie	Ncfson	ge.o.me.trii	geometr'ii	gZ e o m e t r i j
145871	iepuroaicei	iepuroaică	Ncfsoy	ie.pu.roai.cei	iepuro'aicei	j e p u r o_X a i tS e j
