	key	phon	lemma	form	stress_syl
79	șăgi|șagă|Ncfp-n|0	S @ gZ	șagă	șăgi	0
90	șălvirii|șălvirie|Ncfp-n|2	S @ l v i r i j	șălvirie	șălvirii	2
102	șașlâcuri|șașlâc|Ncfp-n|1	S a S l 1 k u r i_0	șașlâc	șașlâcuri	1
105	șabloane|șablon|Ncfp-n|1	S a b l o_X a n e	șablon	șabloane	1
127	șafari|șafar|Ncmp-n|0	S a f a r i_0	șafar	șafari	0
133	șagi|șagă|Ncfp-n|0	S a gZ	șagă	șagi	0
139	șahi|șah|Ncmp-n|0	S a h i_0	șah	șahi	0
144	șahuri|șah|Ncfp-n|0	S a h u r i_0	șah	șahuri	0
149	șahzadele|șahzadea|Ncfp-n|2	S a h z a d e l e	șahzadea	șahzadele	2
173	șalanj|=|Ncfp-n|1	S a l a n Z	=	șalanj	1
179	șale|=|Ncfp-n|0	S a l e	=	șale	0
183	șaltăre|șaltăr|Ncfp-n|0	S a l t @ r e	șaltăr	șaltăre	0
191	șalupe|șalupă|Ncfp-n|1	S a l u p e	șalupă	șalupe	1
198	șaluri|șal|Ncfp-n|0	S a l u r i_0	șal	șaluri	0
201	șalvaragii|șalvaragiu|Ncmp-n|3	S a l v a r a gZ i j	șalvaragiu	șalvaragii	3
207	șalăi|șalău|Ncmp-n|1	S a l @ j	șalău	șalăi	1
214	șamani|șaman|Ncmp-n|1	S a m a n i_0	șaman	șamani	1
229	șampanii|șampanie|Ncfp-n|1	S a m p a n i j	șampanie	șampanii	1
265	șampoane|șampon|Ncfp-n|1	S a m p o_X a n e	șampon	șampoane	1
271	șamponuri|șampon|Ncfp-n|1	S a m p o n u r i_0	șampon	șamponuri	1
277	șanțuri|șanț|Ncfp-n|0	S a n ts u r i_0	șanț	șanțuri	0
281	șanse|șansă|Ncfp-n|0	S a n s e	șansă	șanse	0
290	șantajări|șantajare|Ncfp-n|2	S a n t a Z @ r i_0	șantajare	șantajări	2
335	șantaje|șantaj|Ncfp-n|1	S a n t a Z e	șantaj	șantaje	1
346	șantajiști|șantajist|Ncmp-n|2	S a n t a Z i S t i_0	șantajist	șantajiști	2
351	șantajuri|șantaj|Ncfp-n|1	S a n t a Z u r i_0	șantaj	șantajuri	1
357	șantiere|șantier|Ncfp-n|2	S a n t i e r e	șantier	șantiere	2
363	șantung|=|Ncfp-n|0	S a n t u n g	=	șantung	0
368	șantunguri|șantung|Ncfp-n|0	S a n t u n g u r i_0	șantung	șantunguri	0
398	șargi|șarg|Ncmp-n|0	S a r gZ	șarg	șargi	0
406	șarlatanii|șarlatanie|Ncfp-n|3	S a r l a t a n i j	șarlatanie	șarlatanii	3
