INDEX	form	lemma	xpos	syllables	stress	phon	Check?
2976	șubeici	șubeică	Ncfp-n	șu.beici	șub'eici	S u b e j tS	y
2982	șubeică	=	Ncfsrn	șu.bei.că	șub'eică	S u b e j k @	y
3739	țițeici	țițeică	Ncfp-n	ți.țeici	țiț'eici	ts i ts e j tS	y
3744	țițeică	=	Ncfsrn	ți.ței.că	țiț'eică	ts i ts e j k @	y
4311	țuhaus	=	Ncm--n	țu.haus	țuh'aus	ts u h a w s	y
4315	țuhausuri	țuhaus	Ncfp-n	țu.hau.suri	țuh'ausuri	ts u h a w s u r i_0	y
25411	alămâi	alămâie	Ncfp-n	a.lă.mâi	alăm'âi	a l @ m 1 j	k
25414	alămâie	=	Ncfsrn	a.lă.mâ.ie	alăm'âie	a l @ m 1 j e	k
28262	ambient	=	Ncms-n	am.bi.ent	ambi'ent	a m b i e n t	y
28282	ambienturi	ambient	Ncfp-n	am.bi.en.turi	ambi'enturi	a m b i e n t u r i_0	y
28989	amiază	=	Ncfsrn	a.mia.ză	ami'ază	a m j a z @	y
29021	amiezi	amiază	Ncfp-n	a.miezi	ami'ezi	a m j e z i_0	y
29048	aminoalcool	=	Ncms-n	a.mi.no.al.co.ol	aminoalco'ol	a m i n o a l k o o l	y
29049	aminoalcooli	aminoalcool	Ncmp-n	a.mi.no.al.co.oli	aminoalco'oli	a m i n o a l k o o l i_0	y
32322	antiinflamator	=	Ncms-n	an.ti.in.fla.ma.tor	antiinflamat'or	a n t i i n f l a m a t o r	y
32324	antiinflamatori	antiinflamator	Ncmp-n	an.ti.in.fla.ma.tori	antiinflamat'ori	a n t i i n f l a m a t o r i_0	y
35215	aramean	=	Ncms-n	a.ra.me.an	arame'an	a r a m e a n	y
35226	arameeni	aramean	Ncmp-n	a.ra.me.eni	arame'eni	a r a m e e n i_0	y
40371	aureală	=	Ncfsrn	a.u.rea.lă	aure'ală	a u r e_X a l @	y
40385	aureli	aureală	Ncfp-n	a.u.reli	aur'eli	a u r e l i_0	y
41682	autohtone	autohtonă	Ncfp-n	a.u.toh.to.ne	autoht'one	a u t o h t o n e	y
41695	autohtonă	=	Ncfsrn	a.u.toh.to.nă	autoht'onă	a u t o h t o n @	y
43201	aviație	=	Ncfsrn	a.vi.a.ți.e	avi'ație	a v i a ts i e	y
43203	aviații	aviație	Ncfp-n	a.vi.a.ții	avi'ații	a v i a ts i j	y
43915	băi	baie	Ncfp-n	băi	b'ăi	b @ j	k
44604	bătăi	bătaie	Ncfp-n	bă.tăi	băt'ăi	b @ t @ j	k
44684	bătaie	=	Ncfsrn	bă.ta.ie	băt'aie	b @ t a j e	k
45183	baie	=	Ncfsrn	ba.ie	b'aie	b a j e	k
49694	bobăici	bobaică	Ncfp-n	bo.băici	bob'ăici	b o b @ j tS	y
49701	bobaice	bobaică	Ncfp-n	bo.bai.ce	bob'aice	b o b a j tS e	y
49704	bobaică	=	Ncfsrn	bo.bai.că	bob'aică	b o b a j k @	y
50227	boldeici	boldeică	Ncfp-n	bol.deici	bold'eici	b o l d e j tS	y
50232	boldeică	=	Ncfsrn	bol.dei.că	bold'eică	b o l d e j k @	y
51644	brezaie	=	Ncfsrn	bre.za.ie	brez'aie	b r e z a j e	k
51650	brezăi	brezaie	Ncfp-n	bre.zăi	brez'ăi	b r e z @ j	k
52544	bucălaie	=	Ncfsrn	bu.că.la.ie	bucăl'aie	b u k @ l a j e	k
52546	bucălăi	bucălaie	Ncfp-n	bu.că.lăi	bucăl'ăi	b u k @ l @ j	k
53483	bunăvoi	bunăvoie	Ncfp-n	bu.nă.voi	bunăv'oi	b u n @ v o j	k
53486	bunăvoie	=	Ncfsrn	bu.nă.vo.ie	bunăv'oie	b u n @ v o j e	k
56243	cațaveici	cațaveică	Ncfp-n	ca.ța.veici	cațav'eici	k a ts a v e j tS	k
56249	cațaveică	=	Ncfsrn	ca.ța.vei.că	cațav'eică	k a ts a v e j k @	k
58338	capichehaie	=	Ncfsrn	ca.pi.che.ha.ie	capicheh'aie	k a p i k_j e h a j e	k
58339	capichehăi	capichehaie	Ncfp-n	ca.pi.che.hăi	capicheh'ăi	k a p i k_j e h @ j	k
59394	carioci	cariocă	Ncfp-n	ca.ri.oci	cari'oci	k a r i o tS	y
59399	cariocă	=	Ncfsrn	ca.ri.o.că	cari'ocă	k a r i o k @	y
59876	casierie	=	Ncfsrn	ca.si.e.ri.e	casier'ie	k a s i e r i e	y
59879	casierii	casierie	Ncfp-n	ca.si.e.rii	casier'ii	k a s i e r i j	y
63116	chei	cheie	Ncfp-n	chei	chei	k_j e j	k
63120	cheie	=	Ncfsrn	che.ie	ch'eie	k_j e j e	k
66411	ciumăfaie	=	Ncfsrn	ciu.mă.fa.ie	ciumăf'aie	tS u m @ f a j e	k
66416	ciumăfăi	ciumăfaie	Ncfp-n	ciu.mă.făi	ciumăf'ăi	tS u m @ f @ j	k
66880	clădăraie	=	Ncfsrn	clă.dă.ra.ie	clădăr'aie	k l @ d @ r a j e	k
66881	clădărăi	clădăraie	Ncfp-n	clă.dă.răi	clădăr'ăi	k l @ d @ r @ j	k
66888	clăi	claie	Ncfp-n	clăi	cl'ăi	k l @ j	k
67209	claie	=	Ncfsrn	cla.ie	cl'aie	k l a j e	k
71682	companion	=	Ncms-n	com.pa.nion	compani'on	k o m p a n j o n	y
71683	companioni	companion	Ncmp-n	com.pa.nioni	compani'oni	k o m p a n j o n i_0	y
73192	conștiințe	conștiință	Ncfp-n	con.ști.in.țe	conști'ințe	k o n S t i i n ts e	y
73197	conștiință	=	Ncfsrn	con.ști.in.ță	conști'ință	k o n S t i i n ts @	y
78989	contrasubiect	=	Ncms-n	con.tra.su.biect	contrasubi'ect	k o n t r a s u b j e k t	y
78990	contrasubiecte	contrasubiect	Ncfp-n	con.tra.su.biec.te	contrasubi'ecte	k o n t r a s u b j e k t e	y
80168	copeici	copeică	Ncfp-n	co.peici	cop'eici	k o p e j tS	y
80174	copeică	=	Ncfsrn	co.pei.că	cop'eică	k o p e j k @	y
81073	coreut	=	Ncms-n	co.re.ut	core'ut	k o r e u t	y
81076	coreuți	coreut	Ncmp-n	co.re.uți	core'uți	k o r e u ts i_0	y
81915	coteici	coteică	Ncfp-n	co.teici	cot'eici	k o t e j tS	y
81921	coteică	=	Ncfsrn	co.tei.că	cot'eică	k o t e j k @	y
81948	cotidian	=	Ncms-n	co.ti.di.an	cotidi'an	k o t i d i a n	y
81950	cotidiane	cotidian	Ncfp-n	co.ti.di.a.ne	cotidi'ane	k o t i d i a n e	y
82888	creație	=	Ncfsrn	cre.a.ți.e	cre'ație	k r e a ts i e	y
82890	creații	creație	Ncfp-n	cre.a.ții	cre'ații	k r e a ts i j	y
82895	creaționism	=	Ncms-n	cre.a.ți.o.nism	creațion'ism	k r e a ts i o n i s m	y
82896	creaționisme	creaționism	Ncfp-n	cre.a.ți.o.nis.me	creațion'isme	k r e a ts i o n i s m e	y
84816	cușcaie	=	Ncfsrn	cuș.ca.ie	cușc'aie	k u S k a j e	k
84826	cușcăi	cușcaie	Ncfp-n	cuș.căi	cușc'ăi	k u S k @ j	k
85206	cucuvaie	=	Ncfsrn	cu.cu.va.ie	cucuv'aie	k u k u v a j e	k
85211	cucuveici	cucuveică	Ncfp-n	cu.cu.veici	cucuv'eici	k u k u v e j tS	y
85217	cucuveică	=	Ncfsrn	cu.cu.vei.că	cucuv'eică	k u k u v e j k @	y
85223	cucuvăi	cucuvaie	Ncfp-n	cu.cu.văi	cucuv'ăi	k u k u v @ j	k
88679	dăndănaie	=	Ncfsrn	dăn.dă.na.ie	dăndăn'aie	d @ n d @ n a j e	k
88680	dăndănăi	dăndănaie	Ncfp-n	dăn.dă.năi	dăndăn'ăi	d @ n d @ n @ j	k
96164	depoluare	=	Ncfsrn	de.po.lu.a.re	depolu'are	d e p o l u a r e	y
96166	depoluări	depoluare	Ncfp-n	de.po.lu.ări	depolu'ări	d e p o l u @ r i_0	y
98140	descriere	=	Ncfsrn	des.cri.e.re	descr'iere	d e s k r i e r e	y
98142	descrieri	descriere	Ncfp-n	de.scri.eri	descr'ieri	d e s k r i e r i_0	y
101351	deviație	=	Ncfsrn	de.vi.a.ți.e	devi'ație	d e v i a ts i e	y
101353	deviații	deviație	Ncfp-n	de.vi.a.ții	devi'ații	d e v i a ts i j	y
107550	distorsiune	=	Ncfsrn	dis.tor.si.u.ne	distorsi'une	d i s t o r s i u n e	y
107552	distorsiuni	distorsiune	Ncfp-n	dis.tor.si.uni	distorsi'uni	d i s t o r s i u n i_0	y
111339	dudui	duduie	Ncfp-n	du.dui	dud'ui	d u d u j	k
111346	duduie	=	Ncfsrn	du.du.ie	dud'uie	d u d u j e	k
113317	ecuație	=	Ncfsrn	e.cu.a.ți.e	ecu'ație	e k u a ts i e	y
113319	ecuații	ecuație	Ncfp-n	e.cu.a.ții	ecu'ații	e k u a ts i j	y
113834	efuziune	=	Ncfsrn	e.fu.zi.u.ne	efuzi'une	e f u z i u n e	y
113836	efuziuni	efuziune	Ncfp-n	e.fu.zi.uni	efuzi'uni	e f u z i u n i_0	y
116216	entuziaști	entuziast	Ncmp-n	en.tu.zi.aști	entuzi'aști	e n t u z i a S t i_0	y
116292	entuziast	=	Ncms-n	en.tu.zi.ast	entuzi'ast	e n t u z i a s t	y
119166	evreice	evreică	Ncfp-n	e.vrei.ce	evr'eice	e v r e j tS e	y
119171	evreică	=	Ncfsrn	e.vrei.că	evr'eică	e v r e j k @	y
125307	feliușag	=	Ncms-n	fe.liu.șag	feliuș'ag	f e l j u S a g	y
125310	feliușaguri	feliușag	Ncfp-n	fe.liu.șa.guri	feliuș'aguri	f e l j u S a g u r i_0	y
125374	femei	femeie	Ncfp-n	fe.mei	fem'ei	f e m e j	k
125379	femeie	=	Ncfsrn	fe.me.ie	fem'eie	f e m e j e	k
126609	fiice	fiică	Ncfp-n	fi.i.ce	f'iice	f i i tS e	y
126614	fiică	=	Ncfsrn	fi.i.că	f'iică	f i i k @	y
127483	fionc	=	Ncms-n	fionc	fi'onc	f j o n k	y
127486	fioncuri	fionc	Ncfp-n	fion.curi	fi'oncuri	f j o n k u r i_0	y
128865	fluctuație	=	Ncfsrn	fluc.tu.a.ți.e	fluctu'ație	f l u k t u a ts i e	y
128867	fluctuații	fluctuație	Ncfp-n	fluc.tu.a.ții	fluctu'ații	f l u k t u a ts i j	y
129111	foșcăituri	foșcăitură	Ncfp-n	foș.că.i.turi	foșcăit'uri	f o S k @ i t u r i_0	y
