	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root
0	88	șălvirie	=	Ncfsrn	șăl.vi.ri.e	șălvir'ie	S @ l v i r i e	4		2	S @ l v i r i
1	97	șa	=	Ncfsrn	șa	șa	S a	1		0	S
2	98	șașlâc	=	Ncms-n	șaș.lâc	șașl'âc	S a S l 1 k	2		1	S a S l 1 k
3	108	șablon	=	Ncms-n	șa.blon	șabl'on	S a b l o n	2		1	S a b l o n
4	109	șablonard	=	Afpms-n	șa.blo.nard	șablon'ard	S a b l o n a r d	3		2	S a b l o n a r d
5	126	șafar	=	Ncms-n	șa.far	ș'afar	S a f a r	2		0	S a f a r
6	137	șagă	=	Ncfsrn	șa.gă	ș'agă	S a g @	2		0	S a g
7	138	șah	=	Ncms-n	șah	șah	S a h	1		0	S a h
8	147	șahzadea	=	Ncfsrn	șah.za.dea	șahzade'a	S a h z a d e_X a	3		2	S a h z a d e_X
9	155	șaică	=	Ncfsrn	șai.că	ș'aică	S a j k @	2		0	S a j k
10	172	șal	=	Ncms-n	șal	șal	S a l	1		0	S a l
11	174	șalanj	=	Ncm--n	șa.lanj	șal'anj	S a l a n Z	2		1	S a l a n Z
12	175	șalanj	=	Ncmsvn	șa.lanj	șal'anj	S a l a n Z	2		1	S a l a n Z
13	182	șaltăr	=	Ncms-n	șal.tăr	ș'altăr	S a l t @ r	2		0	S a l t @ r
14	197	șalupă	=	Ncfsrn	șa.lu.pă	șal'upă	S a l u p @	3		1	S a l u p
15	204	șalvaragiu	=	Ncms-n	șal.va.ra.giu	șalvarag'iu	S a l v a r a gZ i w	4		3	S a l v a r a gZ i
16	210	șalău	=	Ncms-n	șa.lău	șal'ău	S a l @ w	2		1	S a l @
17	213	șaman	=	Ncms-n	șa.man	șam'an	S a m a n	2		1	S a m a n
18	217	șamanism	=	Ncms-n	șa.ma.nism	șaman'ism	S a m a n i s m	3		2	S a m a n i s m
19	223	șamot	=	Ncms-n	șa.mot	șam'ot	S a m o t	2		1	S a m o t
20	227	șampanie	=	Ncfsrn	șam.pa.ni.e	șamp'anie	S a m p a n i e	4		1	S a m p a n i
