	INDEX	form	lemma	xpos	syllables	stress	phon
173	173	șalanj	=	Ncfp-n	șa.lanj	șal'anj	S a l a n Z
174	174	șalanj	=	Ncm--n	șa.lanj	șal'anj	S a l a n Z
175	175	șalanj	=	Ncmsvn	șa.lanj	șal'anj	S a l a n Z
363	363	șantung	=	Ncfp-n	șan.tung	ș'antung	S a n t u n g
364	364	șantung	=	Ncm--n	șan.tung	ș'antung	S a n t u n g
365	365	șantung	=	Ncmsvn	șan.tung	ș'antung	S a n t u n g
1412	1412	șlem	=	Ncfp-n	șlem	șlem	S l e m
1413	1413	șlem	=	Ncm--n	șlem	șlem	S l e m
1414	1414	șlem	=	Ncmsvn	șlem	șlem	S l e m
1470	1470	șmag	=	Ncfp-n	șmag	șmag	S m a g
1471	1471	șmag	=	Ncm--n	șmag	șmag	S m a g
1472	1472	șmag	=	Ncmsvn	șmag	șmag	S m a g
1607	1607	șnaps	=	Ncfp-n	șnaps	șnaps	S n a p s
1608	1608	șnaps	=	Ncm--n	șnaps	șnaps	S n a p s
1609	1609	șnaps	=	Ncmsvn	șnaps	șnaps	S n a p s
1804	1804	șofaj	=	Ncfp-n	șo.faj	șof'aj	S o f a Z
1805	1805	șofaj	=	Ncm--n	șo.faj	șof'aj	S o f a Z
1806	1806	șofaj	=	Ncmsvn	șo.faj	șof'aj	S o f a Z
3447	3447	țărmure	=	Ncfp-n	țăr.mu.re	ț'ărmure	ts @ r m u r e
3448	3448	țărmure	=	Ncms-n	țăr.mu.re	ț'ărmure	ts @ r m u r e
3761	3761	țif	=	Ncfp-n	țif	țif	ts i f
3762	3762	țif	=	Ncm--n	țif	țif	ts i f
3763	3763	țif	=	Ncmsvn	țif	țif	ts i f
3877	3877	țincvais	=	Ncfp-n	ținc.vais	ț'incvais	ts i n k v a j s
3878	3878	țincvais	=	Ncm--n	ținc.vais	ț'incvais	ts i n k v a j s
3879	3879	țincvais	=	Ncmsvn	ținc.vais	ț'incvais	ts i n k v a j s
4117	4117	țipirig	=	Ncfp-n	ți.pi.rig	țipir'ig	ts i p i r i g
4118	4118	țipirig	=	Ncm--n	ți.pi.rig	țipir'ig	ts i p i r i g
4119	4119	țipirig	=	Ncmsvn	ți.pi.rig	țipir'ig	ts i p i r i g
4310	4310	țuhaus	=	Ncfp-n	țu.haus	țuh'aus	ts u h a w s
4311	4311	țuhaus	=	Ncm--n	țu.haus	țuh'aus	ts u h a w s
4312	4312	țuhaus	=	Ncmsvn	țu.haus	țuh'aus	ts u h a w s
18191	18191	abolla	=	Ncfsrn	a.bol.la	ab'olla	a b o l l a
18192	18192	abolla	=	Ncfsry	a.bol.la	ab'olla	a b o l l a
