	Unnamed: 0	INDEX	form	lemma	xpos	syllables	stress	phon
408	839	839	șerpoaicei	șerpoaică	Ncfsoy	șer.poai.cei	șerpo'aicei	S e r p o_X a i tS e j
1053	2039	2039	șoricioaico	șoricioaică	Ncfsvy	șo.ri.cioai.co	șoricio'aico	S o r i tS o_X a i k o
1484	2794	2794	știubeiașule	știubeiaș	Ncmsvy	știu.be.ia.șu.le	știubei'așule	S t j u b e i a S u l e
1685	3225	3225	șvăboaicei	șvăboaică	Ncfsoy	șvă.boai.cei	șvăbo'aicei	S v @ b o_X a i tS e j
1816	3461	3461	țărni	țarnă	Ncfp-n	țăr.ni	ț'ărni	ts @ r n j
1817	3462	3462	țărni	țarnă	Ncfson	țăr.ni	ț'ărni	ts @ r n j
1975	3723	3723	țevi	țeavă	Ncfp-n	țe.vi	ț'evi	ts e v i_0
1976	3724	3724	țevi	țeavă	Ncfson	țe.vi	ț'evi	ts e v i_0
2220	4251	4251	țușcovi	țușcov	Ncmp-n	țuș.co.vi	țușc'ovi	ts u S k o v i_0
2851	19200	19200	academiei	academie	Ncfsoy	a.ca.de.mi.e.i	academ'iei	a k a d e m i e j
4757	25415	25415	alămâii	alămâie	Ncfsoy	a.lă.mâ.ii	alăm'âii	a l @ m 1 j j
5314	27096	27096	alocuțiune	=	Ncfsrn	a.lo.cu.țiu.ne	alocuți'une	a l o k u ts i u n e
7862	34965	34965	arăboaicei	arăboaică	Ncfsoy	a.ră.boai.cei	arăbo'aicei	a r @ b o_X a i tS e j
7887	35015	35015	arăpoaicei	arăpoaică	Ncfsoy	a.ră.poai.cei	arăpo'aicei	a r @ p o_X a i tS e j
8138	35691	35691	arendășoaicei	arendășoaică	Ncfsoy	a.ren.dă.șoai.cei	arendășo'aicei	a r e n d @ S o_X a i tS e j
9068	38298	38298	asmațuchi	=	Ncm--n	as.ma.țu.chi	asmaț'uchi	a s m a ts u k_j
9081	38348	38348	asociațiilor	asociație	Ncfpoy	a.so.ci.a.ți.i.lor	asoci'ațiilor	a s o tS i a ts i j l o r
10667	43179	43179	avi	avă	Ncmp-n	a.vi	'avi	a v i_0
11373	45000	45000	bacteriei	bacterie	Ncfsoy	bac.te.ri.e.i	bact'eriei	b a k t e r i e j
11521	45324	45324	balamao	balama	Ncfsvy	ba.la.mao	balam'ao	b a l a m a o
13303	49381	49381	blitz	=	Ncfp-n	blitz	bl'itz	b l j t z
13304	49382	49382	blitz	=	Ncm--n	blitz	bl'itz	b l j t z
13305	49383	49383	blitz	=	Ncmsvn	blitz	bl'itz	b l j t z
13306	49384	49384	blitzul	blitz	Ncmsry	bli.tzul	bl'itzul	b l j t z u l
13307	49385	49385	blitzului	blitz	Ncmsoy	bli.tzu.lui	bl'itzului	b l j t z u l u j
13308	49386	49386	blitzuri	blitz	Ncfp-n	bli.tzuri	bl'itzuri	b l j t z u r i_0
13309	49387	49387	blitzurile	blitz	Ncfpry	bli.tzu.ri.le	bl'itzurile	b l j t z u r i l e
13310	49388	49388	blitzurilor	blitz	Ncfpoy	bli.tzu.ri.lor	bl'itzurilor	b l j t z u r i l o r
13682	50002	50002	boiaua	boia	Ncfsry	bo.ia.u.a	boi'aua	b o i a u a
14468	51750	51750	brioul	brio	Ncmsry	bri.o.ul	br'ioul	b r i o w l
14708	52411	52411	brâuri	brâu	Ncfp-n	brâ.uri	br'âuri	b r 1 w r i_0
15018	53277	53277	bulgăroaicei	bulgăroaică	Ncfsoy	bul.gă.roai.cei	bulgăro'aicei	b u l g @ r o_X a i tS e j
15706	54873	54873	călăuzi	călăuz	Ncmp-n	că.lă.u.zi	călăuz'i	k @ l @ u z i_0
15738	54975	54975	călcâiului	călcâi	Ncmsoy	căl.câi.u.lui	călc'âiului	k @ l k 1 i u l u j
15914	55386	55386	căpătâiului	căpătâi	Ncmsoy	că.pă.tâi.u.lui	căpăt'âiului	k @ p @ t 1 i u l u j
16370	56351	56351	cacauei	cacao	Ncfsoy	ca.ca.uei	cac'auei	k a k a u e j
16371	56352	56352	cacauei	cacauă	Ncfsoy	ca.ca.uei	cac'auei	k a k a u e j
16379	56360	56360	cacealmao	cacealma	Ncfsvy	ca.ceal.mao	cacealm'ao	k a tS a l m a o
16542	56639	56639	caiaua	caia	Ncfsry	ca.ia.u.a	cai'aua	k a i a u a
18667	61017	61017	ceainăriile	ceainărie	Ncfpry	ceai.nă.ri.i.le	ceainăr'iile	tS a j n @ r i j l e
18668	61018	61018	ceainăriilor	ceainărie	Ncfpoy	ceai.nă.ri.i.lor	ceainăr'iilor	tS a j n @ r i j l o r
18837	61316	61316	cehoaicei	cehoaică	Ncfsoy	ce.hoai.cei	ceho'aicei	tS e h o_X a i tS e j
18840	61319	61319	cehoaico	cehoaică	Ncfsvy	ce.hoai.co	ceho'aico	tS e h o_X a i k o
19181	62377	62377	cerealo	cereală	Ncfsvy	ce.re.a.lo	cere'alo	tS e r e_X a l o
19196	62432	62432	ceremonialule	ceremonial	Ncmsvy	ce.re.mo.nia.lu.le	ceremoni'alule	tS e r e m o n i a l u l e
19360	62962	62962	ceucuță	=	Ncfsrn	ceu.cu.ță	ceuc'uță	tS e u k u ts @
19832	63966	63966	chineziterapeuți	chineziterapeut	Ncmp-n	chi.ne.zi.te.ra.pe.uți	chineziterape'uți	k_j i n e z i_0 t e r a p e u ts i_0
19839	63974	63974	chinezoaicei	chinezoaică	Ncfsoy	chi.ne.zoai.cei	chinezo'aicei	k_j i n e z o_X a i tS e j
19924	64157	64157	chiote	chiot	Ncfp-n	chi.o.te	ch'iote	k_j j o t e
19925	64158	64158	chiotele	chiot	Ncfpry	chi.o.te.le	ch'iotele	k_j j o t e l e
19926	64159	64159	chiotelor	chiot	Ncfpoy	chi.o.te.lor	ch'iotelor	k_j j o t e l o r
19927	64160	64160	chiotul	chiot	Ncmsry	chi.o.tul	ch'iotul	k_j j o t u l
19929	64162	64162	chiotului	chiot	Ncmsoy	chi.o.tu.lui	ch'iotului	k_j j o t u l u j
20053	64495	64495	chiulul	chiul	Ncmsry	chiu.lul	chi'ulul	k_j w l u l
20054	64496	64496	chiulului	chiul	Ncmsoy	chiu.lu.lui	chi'ulului	k_j w l u l u j
20055	64497	64497	chiuluri	chiul	Ncfp-n	chiu.luri	chi'uluri	k_j w l u r i_0
20056	64498	64498	chiulurile	chiul	Ncfpry	chiu.lu.ri.le	chi'ulurile	k_j w l u r i l e
20057	64499	64499	chiulurilor	chiul	Ncfpoy	chiu.lu.ri.lor	chi'ulurilor	k_j w l u r i l o r
20493	65425	65425	ciocoaica	ciocoaică	Ncfsry	cio.coai.ca	cioco'aica	tS o k o_X a i k a
20494	65426	65426	ciocoaice	ciocoaică	Ncfp-n	cio.coai.ce	cioco'aice	tS o k o_X a i tS e
