	INDEX	form	lemma	xpos	syllables	stress	phon	include
168125	168125	lucrătorului	lucrător	Ncmsoy	lu.cră.to.ru.lui	lucrăt'orului	l u k r @ t o r u l u j	True
154358	154358	integralului	integral	Afpmsoy	in.te.gra.lu.lui	integr'alului	i n t e g r a l u l u j	True
327248	327248	însușită	însuși	Vmp--sf	în.su.și.tă	însuș'ită	1 n s u S i t @	True
102735	102735	dezideratului	deziderat	Ncmsoy	de.zi.de.ra.tu.lui	dezider'atului	d e z i d e r a t u l u j	True
287800	287800	talveg	=	Ncms-n	tal.veg	talv'eg	t a l v e g	True
181359	181359	mondenă	=	Ncfsrn	mon.de.nă	mond'enă	m o n d e n @	True
189081	189081	necorespunzătoarelor	necorespunzător	Afpfpoy	ne.co.res.pun.ză.toa.re.lor	necorespunzăto'arelor	n e k o r e s p u n z @ t o_X a r e l o r	True
273851	273851	spăgile	spagă	Ncfpry	spă.gi.le	sp'ăgile	s p @ gZ i l e	True
144581	144581	huzdupaseși	huzdupa	Vmil2s	huz.du.pa.seși	huzdup'aseși	h u z d u p a s e S i_0	True
168647	168647	luptătorii	luptător	Ncmpry	lup.tă.to.rii	luptăt'orii	l u p t @ t o r i j	True
326176	326176	înrudiserăți	înrudi	Vmil2p	în.ru.di.se.răți	înrud'iserăți	1 n r u d i s e r @ ts i_0	True
28553	28553	ameliorați	ameliora	Vmii2p	a.me.li.o.rați	amelior'ați	a m e l i o r a ts i_0	True
131422	131422	fraudele	fraudă	Ncfpry	fra.u.de.le	fr'audele	f r a u d e l e	True
57186	57186	calitativii	calitativ	Afpmpry	ca.li.ta.ti.vii	calitat'ivii	k a l i t a t i v i j	True
25805	25805	albească	albi	Vmsp3	al.beas.că	albe'ască	a l b e_X a s k @	True
141272	141272	halatul	halat	Ncmsry	ha.la.tul	hal'atul	h a l a t u l	True
136818	136818	gilbertului	gilbert	Ncmsoy	gil.ber.tu.lui	g'ilbertului	gZ i l b e r t u l u j	True
123516	123516	facerii	facere	Ncfsoy	fa.ce.rii	f'acerii	f a tS e r i j	True
270438	270438	singura	singur	Afpfsry	sin.gu.ra	s'ingura	s i n g u r a	True
123853	123853	falezele	faleză	Ncfpry	fa.le.ze.le	fal'ezele	f a l e z e l e	True
127393	127393	finisatei	finisat	Afpfsoy	fi.ni.sa.tei	finis'atei	f i n i s a t e j	True
318158	318158	încasat	=	Afpms-n	în.ca.sat	încas'at	1 n k a s a t	True
180027	180027	mobiliară	mobiliar	Afpfsrn	mo.bi.li.a.ră	mobili'ară	m o b i l i a r @	True
147628	147628	imploziile	implozie	Ncfpry	im.plo.zi.i.le	impl'oziile	i m p l o z i i l e	True
54439	54439	cățăit	cățăi	Vmp--sm	că.ță.it	căță'it	k @ ts @ i t	True
91807	91807	deconcentrate	deconcentra	Vmp--pf	de.con.cen.tra.te	deconcentr'ate	d e k o n tS e n t r a t e	True
81144	81144	cormoranul	cormoran	Ncmsry	cor.mo.ra.nul	cormor'anul	k o r m o r a n u l	True
20441	20441	acordații	acordat	Afpmpry	a.cor.da.ții	acord'ații	a k o r d a ts i j	True
182939	182939	muți	mut	Ncmp-n	muți	m'uți	m u ts i_0	True
242206	242206	radiotelegrafiarăm	radiotelegrafia	Vmis1p	ra.di.o.te.le.gra.fi.a.răm	radiotelegrafi'arăm	r a d i o t e l e g r a f i a r @ m	True
92297	92297	decuplări	decuplare	Ncfp-n	de.cu.plări	decupl'ări	d e k u p l @ r i_0	True
18521	18521	absentași	absenta	Vmis2s	ab.sen.tași	absent'ași	a b s e n t a S i_0	True
176429	176429	mexicane	mexicană	Ncfp-n	me.xi.ca.ne	mexic'ane	m e ks i k a n e	True
309595	309595	vânaseră	vâna	Vmil3p	vâ.na.se.ră	vân'aseră	v 1 n a s e r @	True
115617	115617	emitentului	emitent	Afpmsoy	e.mi.ten.tu.lui	emit'entului	e m i t e n t u l u j	True
21610	21610	addendelor	addendă	Ncfpoy	ad.den.de.lor	add'endelor	a d d e n d e l o r	True
165942	165942	liderul	lider	Ncmsry	li.de.rul	l'iderul	l i d e r u l	True
